,T_ext,Sol_rad,T_Wall_Ins,T_Ins_Ins,T_Ins_Coat,T_int
2018-03-22 00:00:00,7.0697849012,2.6869137024000005,24.014635400000003,15.391815377,5.7230239135,25.602660829999998
2018-03-22 00:05:00,6.7830955304,0.0,23.994930484,15.398397923500001,5.8809787437,25.607246535500003
2018-03-22 00:10:00,5.6648080142,0.0,23.956946108,15.381315974,5.9128232748,25.607625012
2018-03-22 00:15:00,5.294295817,0.0310000002,23.981197209999998,15.429460919,5.9124018655,25.607845539
2018-03-22 00:20:00,5.2247353802,0.0,23.996952842,15.467895763,5.8896593017,25.608097145000002
2018-03-22 00:25:00,5.117718969,0.0,23.980744035,15.488894455,5.8156976904,25.61247746
2018-03-22 00:30:00,4.9398481918,0.0,23.943577889,15.473028633,5.6198509621,25.618055274
2018-03-22 00:35:00,4.8516679752,1.7809424682,23.953041606,15.498148952,5.3316672027,25.618574873
2018-03-22 00:40:00,4.5816754144,0.0,23.96319472,15.504296500999999,4.9965512836,25.62188425
2018-03-22 00:45:00,4.3183171,0.0,23.935512842,15.477654198,4.652196692,25.616086091
2018-03-22 00:50:00,4.0278476348,0.4684856172,23.970229924999998,15.478546,4.3776919004999995,25.618087277
2018-03-22 00:55:00,3.8312010047999996,0.0,23.944308382000003,15.440958036000001,4.1037074747,25.621254455
2018-03-22 01:00:00,3.8128144454,0.0,23.935968392,15.390932058999999,3.9115624082,25.6194819325
2018-03-22 01:05:00,3.7760105366,0.0,23.945017289,15.362711577999999,3.9252161158,25.619206301
2018-03-22 01:10:00,3.8773688068,0.3749046808,23.938052612,15.303893233,4.0142955214,25.620970647
2018-03-22 01:15:00,3.9579473696000003,1.2182949788,23.940557786,15.257244592000001,4.1599641463,25.617961314
2018-03-22 01:20:00,4.0678247648,0.0,23.929222788,15.202567989,4.2893287817,25.626407371
2018-03-22 01:25:00,4.171799493,0.0,23.934622555,15.189041894000002,4.4348701917,25.622421209000002
2018-03-22 01:30:00,4.1663172749,0.0,23.91518048,15.149592198,4.5289748823,25.624082847
2018-03-22 01:35:00,4.1595094934,0.0,23.900334262999998,15.120758724,4.5973349648,25.622971714
2018-03-22 01:40:00,4.160012163999999,0.0,23.907658422,15.122333437000002,4.619504235600001,25.623776245000002
2018-03-22 01:45:00,4.2449592121999995,0.0,23.896304766,15.109612535,4.5297225486,25.614244494
2018-03-22 01:50:00,4.4263170968,1.6867805957999997,23.929412163,15.126341165,4.4162365103,25.575800641
2018-03-22 01:55:00,4.518575483799999,3.905789617,23.917391478,15.125358961,4.2900854324,25.578100877
2018-03-22 02:00:00,4.4940966532,0.0,23.8944410975,15.097684327999998,4.195430089599999,25.574201739
2018-03-22 02:05:00,4.5404986812,0.0,23.891212754,15.079230383,4.1686179037999995,25.579440841999997
2018-03-22 02:10:00,4.4272247992,0.0,23.892212698999998,15.058338697,4.163418650800001,25.572034311000003
2018-03-22 02:15:00,4.4190032572,0.0,23.886544707,15.040968379,4.1986467512,25.5660070935
2018-03-22 02:20:00,4.5129934854,0.0,23.868081118,15.020820274,4.2488378131,25.56481807
2018-03-22 02:25:00,4.550327826,0.0,23.862187281,14.997635394,4.3013310311,25.5604301945
2018-03-22 02:30:00,4.4447225132,0.0,23.858484917,14.984458859,4.3496948032,25.561130586000004
2018-03-22 02:35:00,4.4016610974,0.7394760284,23.867288104,14.987038177999999,4.3957730471000005,25.563162897999998
2018-03-22 02:40:00,4.3956201578,1.4789520568,23.891213305,15.005756523000002,4.4959187922,25.569023795
2018-03-22 02:45:00,4.5408842704,0.0,23.857466157000005,14.979096153,4.5377627789999995,25.560042908
2018-03-22 02:50:00,4.5713948146,0.0206666668,23.826185553000002,14.948290658,4.538795160399999,25.55742736
2018-03-22 02:55:00,4.435697042599999,7.2598460114000005,23.857402107,14.973840025,4.5855206691,25.558956572
2018-03-22 03:00:00,4.5242206516,0.0,23.821229383500004,14.9408284045,4.562331275,25.5461785695
2018-03-22 03:05:00,4.481231592,0.0,23.820529733999997,14.961299693,4.5694414043,25.554860106
2018-03-22 03:10:00,4.4877635376,0.0,23.842360030000002,14.979035568,4.5646237318,25.554434052999998
2018-03-22 03:15:00,4.4100187932,0.0,23.866104991999997,15.003758978,4.5228208447,25.560184573999997
2018-03-22 03:20:00,4.3360225004,0.49948561700000005,23.849044445,14.999769173,4.4670653539,25.551692088000003
2018-03-22 03:25:00,4.5001701172,2.4681708936,23.83861686,14.980020348,4.3861606288,25.5474461755
2018-03-22 03:30:00,4.2723772808,0.0,23.848869223,14.995285372000001,4.293147315200001,25.549265735999995
2018-03-22 03:35:00,4.196943600199999,0.4684856172,23.844810732,14.981943817000001,4.1286237556,25.552039057499996
2018-03-22 03:40:00,4.1296967001,0.0,23.827523194999998,14.964315083,3.9527182702,25.561208188
2018-03-22 03:45:00,3.9880141586,0.0,23.842188729,14.962152415999999,3.7960657917,25.558434879
2018-03-22 03:50:00,3.8637648157999998,0.1664952056,23.851611469,14.945438588,3.6954288518,25.557064723000003
2018-03-22 03:55:00,3.8120735074,0.0832476028,23.843180152000002,14.914631141,3.6392259607,25.55711137
2018-03-22 04:00:00,3.699963553,0.0,23.851546104999997,14.902197041500001,3.58157249125,25.560844946499998
2018-03-22 04:05:00,3.557887702,0.0,23.843124294,14.870022107,3.4751957769999997,25.561002477000002
2018-03-22 04:10:00,3.4327266545,0.9059712342000001,23.811441453,14.81687436,3.347661893,25.556905988
2018-03-22 04:15:00,3.5055550422,0.3019904114,23.816811684,14.789877884,3.3042396633999997,25.558198192
2018-03-22 04:20:00,3.581420511,3.3121421274,23.801204189,14.752847861000001,3.2842526774,25.559159584000003
2018-03-22 04:25:00,3.4473818904,0.9059712342000001,23.809257979999998,14.723958619000001,3.2745056864000004,25.556842625
2018-03-22 04:30:00,3.4705799573999996,0.9059712342000001,23.798402939,14.696128330999999,3.2921819642,25.554117243
2018-03-22 04:35:00,3.3666075892,0.0,23.762585022,14.629974576,3.2577953562,25.559300687
2018-03-22 04:40:00,3.1749415967,0.0,23.756745645000002,14.603653414,3.1924272642,25.558268173499997
2018-03-22 04:45:00,3.1797711014,0.0,23.750242801,14.577623302999998,3.1001492697,25.555912818
2018-03-22 04:50:00,2.988242455,0.0,23.779773765,14.584412360000002,3.0781648311,25.555801678999998
2018-03-22 04:55:00,3.0535711146,0.0,23.7894616445,14.5701198995,3.11256729625,25.559905591
2018-03-22 05:00:00,3.178197043,0.0,23.770162726,14.544522219,3.162731224,25.551215973
2018-03-22 05:05:00,3.3593377868,0.0,23.749118031000002,14.512917494,3.2199561604,25.5491351145
2018-03-22 05:10:00,3.2995086440000003,0.0,23.717910140999997,14.474052607,3.2693768346,25.550820618000003
2018-03-22 05:15:00,3.4659448746000003,0.0,23.739924248,14.483555377000002,3.3866782898,25.550568583999997
2018-03-22 05:20:00,3.5813488972000003,0.0,23.754023791,14.479810419,3.5164966536,25.549103355999996
2018-03-22 05:25:00,3.5368906981999997,0.0,23.743175938,14.462826921,3.5915679072,25.546393605
2018-03-22 05:30:00,3.4928296366,0.0,23.755765863999997,14.474747612000002,3.6976458942,25.548316018
2018-03-22 05:35:00,3.5452662005999995,0.0,23.745887515,14.477705014000001,3.7826052953,25.548221283
2018-03-22 05:40:00,3.7249583498,0.6872284254000001,23.711782162,14.464368645,3.8319336111999998,25.552647981
2018-03-22 05:45:00,3.7274192004,1.0569664399,23.724823455,14.475182467,3.8962982647000004,25.550110951999997
2018-03-22 05:50:00,3.7136391126,0.0,23.688783136,14.463391602,3.9406740428000004,25.548125121
2018-03-22 05:55:00,3.5457466658000003,0.0,23.6684426725,14.463264150999999,3.8878438798,25.5465334485
2018-03-22 06:00:00,3.4781528722,0.0,23.710746797,14.507446384999998,3.799894205,25.539789333
2018-03-22 06:05:00,3.3992653568,15.186834723999999,23.733475108,14.541493179,3.7216548588,25.54213721
2018-03-22 06:10:00,3.2877114082,7.593417361999999,23.69434888,14.518614054,3.5626824929,25.535818603000003
2018-03-22 06:15:00,3.1638236662,0.0,23.723609623999998,14.545247225,3.4445027399,25.537646128
2018-03-22 06:20:00,3.0160828130999997,0.15616187239999998,23.680209654000002,14.500222817,3.1956230131,25.531296348999998
2018-03-22 06:25:00,2.9043814485999997,0.780809362,23.669871209,14.483773896999999,2.9312088606,25.533076059
2018-03-22 06:30:00,2.6437929314,0.24974280840000002,23.717836303,14.506483688,2.6855990878,25.53328055
2018-03-22 06:35:00,2.5552896886,0.24974280840000002,23.70541351,14.472321989,2.5383560753,25.534131288
2018-03-22 06:40:00,2.4952473405999998,0.0,23.681745393,14.413193215,2.534386291,25.537881641
2018-03-22 06:45:00,2.5500681134,0.0,23.683601832,14.378242601,2.5308093612,25.531783210999997
2018-03-22 06:50:00,2.692835723,0.0,23.684195682499997,14.348429317499999,2.4977202956999998,25.532957742
2018-03-22 06:55:00,2.8255183714,0.0,23.681258994000004,14.302047059,2.4770896082,25.530319509
2018-03-22 07:00:00,2.9237791712,0.0,23.694204213,14.283244049,2.5673585738,25.530366187
2018-03-22 07:05:00,2.9400588746,0.6665617588,23.660039650999998,14.236184907999998,2.6152265269,25.532571491
2018-03-22 07:10:00,2.9881060764000003,1.3331235176,23.653438723,14.211496107000002,2.6472511988,25.533674066000003
2018-03-22 07:15:00,3.10837871,0.728561759,23.639082971999997,14.180711513,2.6633546681,25.532870661
2018-03-22 07:20:00,3.0824609517000003,3.2389373902000003,23.646352809,14.16977584,2.6417042019,25.5277887745
2018-03-22 07:25:00,2.942322098,3.1140659856,23.624512866,14.142407486,2.5420882433,25.529450974
2018-03-22 07:30:00,2.9986188704,1.926190071,23.625202432000002,14.133328344,2.4273580669,25.525937555
2018-03-22 07:35:00,3.1331704918,6.2797986382,23.634769104,14.126310017000002,2.397845892,25.5254093175
2018-03-22 07:40:00,3.2644106166,10.65465481,23.634888111,14.121680751,2.4832227481,25.523526209
2018-03-22 07:45:00,3.4155786472000003,13.279568512,23.624269163,14.107943640999999,2.5802456816,25.527984760000002
2018-03-22 07:50:00,3.3515347833999996,21.154309618,23.604141946,14.070821611500001,2.6225254385500003,25.52163486
2018-03-22 07:55:00,3.4198922792,27.060365446000002,23.613725767000002,14.076519996,2.7541694973000004,25.518168781
2018-03-22 08:00:00,3.9544524036,32.23727858,23.633346842999998,14.076481839,2.9956769718,25.519853779
2018-03-22 08:05:00,4.3683472172,42.518190579999995,23.635824136,14.073901382999999,3.3380466323,25.516481016
2018-03-22 08:10:00,4.7485517622,37.560020256,23.617638009000004,14.078183916,3.5641188233000003,25.519160309
2018-03-22 08:15:00,6.0736697710000005,35.955906328,23.596836518,14.093929661999999,3.7017609015,25.515930509
2018-03-22 08:20:00,6.8617588413999995,43.684818891999996,23.606088775000003,14.114369043,3.8260348910000004,25.510368059
2018-03-22 08:25:00,7.041501157899999,48.934646297,23.613842904000002,14.152807569,3.9985914897,25.515015799
2018-03-22 08:30:00,7.901732681,47.768017984,23.576497813,14.157942302,4.0923539168000005,25.51548802
2018-03-22 08:35:00,8.323567992200001,50.538760228,23.595935954,14.222894907,4.1804543309,25.515408502
2018-03-22 08:40:00,9.434763667,55.93441617,23.579770088,14.244560815000002,4.272851923099999,25.5166450885
2018-03-22 08:45:00,9.484411405,70.298527264,23.601041463,14.286546214,4.4100714083,25.510863034499998
2018-03-22 08:50:00,9.7668517452,82.11063892199999,23.604199555500003,14.316903168499998,4.5685985275,25.5126274015
2018-03-22 08:55:00,10.597841444,87.105266383,23.610643337,14.357826865,4.8546833709,25.5133522435
2018-03-22 09:00:00,9.9163642482,94.28732192800001,23.608863422,14.387141269,5.3564179393,25.512273154
2018-03-22 09:05:00,10.5873041286,119.36983061999999,23.569957963,14.413574592,6.068808194600001,25.510681534
2018-03-22 09:10:00,11.320494688,152.10833764,23.60025746,14.491479891999997,7.153666342999999,25.511910401
2018-03-22 09:15:00,10.46594271,152.91039461999998,23.602730453,14.580968482,8.253613979699999,25.514636139
2018-03-22 09:20:00,11.784747004,181.12821692,23.583829070999997,14.684580444,9.400334987099999,25.507955309000003
2018-03-22 09:25:00,11.526278584,186.45095858,23.639157476,14.862882344,10.628054637000002,25.51168937
2018-03-22 09:30:00,12.007201468,184.33644477,23.591685607000002,15.009674006000001,11.610751062,25.512871146
2018-03-22 09:35:00,12.804991351999998,190.89872902,23.612584692,15.226792146,12.56387675,25.509105071
2018-03-22 09:40:00,12.754100613999999,197.02352765999998,23.617017869,15.456619121,13.383469538,25.508017999
