;T_ins_1;T_ins_2;Tint_1;Tint_2;T_interface_1;T_interface_2;T_ext;Pyr
2024-09-04 00:00:00;22.740513032820843;22.787499487065933;26.992213934246035;27.09004557552425;25.546544120135675;25.598609376346754;18.084581130107114;0.0
2024-09-04 00:01:00;22.73825895935952;22.781683022675765;26.99213811859818;27.089990775304347;25.544767713096387;25.595554439824507;18.037669342898;0.0
2024-09-04 00:02:00;22.738968679625767;22.7829286492112;26.991712500208475;27.089470548328872;25.543874652808267;25.600248276777204;18.06802232280711;0.0
2024-09-04 00:03:00;22.74376761668761;22.78205454975797;26.99157438063488;27.08925059669827;25.544536788035;25.598487730289808;18.09721917005973;0.0
2024-09-04 00:04:00;22.746749637426262;22.78367122925349;26.99115101427348;27.08898710519779;25.548271127591743;25.59955005193682;18.12274699352515;0.0
2024-09-04 00:05:00;22.75078038252089;22.78994290019916;26.99052497256771;27.088273200906688;25.553083935599822;25.603758852480865;18.18475517345228;0.0
2024-09-04 00:06:00;22.74931337485543;22.79132759043591;26.990141390752488;27.08793614205491;25.552392236479367;25.604677580614617;18.1289232309873;0.0
2024-09-04 00:07:00;22.751507600233182;22.78595677905789;26.98978408169964;27.08780477168131;25.54845328669628;25.600853232103887;18.129378972749542;0.0
2024-09-04 00:08:00;22.75271589981828;22.78507577066237;26.989459801221507;27.08758632153353;25.54886823093147;25.60082232406269;18.11172606850772;0.0
2024-09-04 00:09:00;22.75274496363857;22.780346622334235;26.989076970170004;27.08697376040599;25.545807622312843;25.598212201052053;17.994312878578405;0.0
2024-09-04 00:10:00;22.74570709195736;22.77730286117488;26.98864684829009;27.086575145311805;25.543923400679947;25.594126288012188;18.007424385870955;0.0
2024-09-04 00:11:00;22.746584971673325;22.78186910555557;26.988218227722967;27.08614950552513;25.54558453087584;25.60103696859649;18.039173065579536;0.0
2024-09-04 00:12:00;22.7483811673704;22.78033443224233;26.98780311893252;27.085550457081272;25.54611411152157;25.597897764954126;18.084810197142502;0.0
2024-09-04 00:13:00;22.747630696207807;22.784506266701936;26.98720560259438;27.08529822615433;25.55070317156059;25.60080749621968;18.050579118340963;0.0
2024-09-04 00:14:00;22.746376672571422;22.78472902771975;26.98644894882645;27.08479376443242;25.54796891201467;25.6051423214308;17.99224701831653;0.0
2024-09-04 00:15:00;22.746440186011835;22.777300838230584;26.98630707628468;27.08442893052916;25.54712510013633;25.60084414127773;17.963753985118462;0.0
2024-09-04 00:16:00;22.73714623840375;22.769582668245047;26.985864193760168;27.08388993729996;25.540456776008146;25.594296160314585;18.00724328355187;0.0
2024-09-04 00:17:00;22.73536565112313;22.771347410428444;26.98553841241028;27.083700764213543;25.54251571832748;25.59289164030633;18.00319844457421;0.0
2024-09-04 00:18:00;22.734190085938963;22.77031524845125;26.98516984415748;27.08307093803992;25.5401998482622;25.59267679994977;17.92750316235722;0.0
2024-09-04 00:19:00;22.730336886549896;22.768802134286;26.984699187794654;27.08277366614958;25.5390021900192;25.593289754589247;17.932571170745994;0.0
2024-09-04 00:20:00;22.736030942338072;22.769090933569;26.9843073495567;27.08243360517384;25.54362837771881;25.59777189288494;18.002392429887486;0.0
