,Index (GIE-CPT-ELE-CVC-TDA2.4-GIENAH)
2022-07-15 05:00:00+00:00,3335697.943194663
2022-07-15 05:30:00+00:00,3600646.4669599314
2022-07-15 06:00:00+00:00,4720941.6070835935
2022-07-15 06:30:00+00:00,4513609.707676619
2022-07-15 07:00:00+00:00,4842285.259748684
2022-07-15 07:30:00+00:00,3825466.26180418
2022-07-15 08:00:00+00:00,4183958.2998814634
2022-07-15 08:30:00+00:00,3442296.982668391
2022-07-15 09:00:00+00:00,3887808.8425615933
2022-07-15 09:30:00+00:00,4483337.472641282
2022-07-15 10:00:00+00:00,4875290.3560225405
2022-07-15 10:30:00+00:00,3650173.772780405
2022-07-15 11:00:00+00:00,4226373.0358987665
2022-07-15 11:30:00+00:00,4332247.488596662
2022-07-15 12:00:00+00:00,4493590.176637513
2022-07-15 12:30:00+00:00,5628842.961778847
2022-07-15 13:00:00+00:00,4757683.477763327
2022-07-15 13:30:00+00:00,3688777.293458122
2022-07-15 14:00:00+00:00,4953870.954742786
2022-07-15 14:30:00+00:00,4007554.5769272386
2022-07-15 15:00:00+00:00,5948309.681270402
2022-07-15 15:30:00+00:00,3424741.3511943687
2022-07-15 16:00:00+00:00,444985.42614212754
2022-07-15 16:30:00+00:00,1015357.4869766078
2022-07-15 17:00:00+00:00,2128780.1423913343
2022-07-15 17:30:00+00:00,9123.506012250424
2022-07-15 18:00:00+00:00,-1.573291296760241e-05
2022-07-15 18:30:00+00:00,-1.4270417143901189e-05
2022-07-15 19:00:00+00:00,-3.7160341938336692e-06
2022-07-15 19:30:00+00:00,71659.41226163167
2022-07-15 20:00:00+00:00,1843674.957203069
2022-07-15 20:30:00+00:00,1248195.1917016688
2022-07-15 21:00:00+00:00,-7.437391882086849e-06
2022-07-15 21:30:00+00:00,-1.7335902817629198e-05
2022-07-15 22:00:00+00:00,-7.429293223789761e-08
2022-07-15 22:30:00+00:00,4.511302070958273e-06
2022-07-15 23:00:00+00:00,1.3104822397941636e-05
2022-07-15 23:30:00+00:00,71301.53622183218
2022-07-16 00:00:00+00:00,1814760.0550800567
2022-07-16 00:30:00+00:00,993088.4323088086
2022-07-16 01:00:00+00:00,7.476934429370996e-06
2022-07-16 01:30:00+00:00,2.945295658770143e-06
2022-07-16 02:00:00+00:00,-6.944126807726346e-06
2022-07-16 02:30:00+00:00,0.0
2022-07-16 03:00:00+00:00,-1.275867787309182e-05
2022-07-16 03:30:00+00:00,292525.537646095
2022-07-16 04:00:00+00:00,2547350.5044412958
2022-07-16 04:30:00+00:00,497921.24006463477
2022-07-16 05:00:00+00:00,9.235113726130554e-06
2022-07-16 05:30:00+00:00,6.126438354365615e-06
2022-07-16 06:00:00+00:00,-1.4075853607871318e-06
2022-07-16 06:30:00+00:00,3.9357334375381475e-06
2022-07-16 07:00:00+00:00,-1.8826082348823546e-05
2022-07-16 07:30:00+00:00,1.29469180140983e-05
2022-07-16 08:00:00+00:00,1053685.7654036277
2022-07-16 08:30:00+00:00,1122468.893457968
2022-07-16 09:00:00+00:00,43440.63957164087
2022-07-16 09:30:00+00:00,0.0
2022-07-16 10:00:00+00:00,0.0
2022-07-16 10:30:00+00:00,0.0
2022-07-16 11:00:00+00:00,-5.6348786904261664e-06
2022-07-16 11:30:00+00:00,1366792.8772414844
2022-07-16 12:00:00+00:00,1998017.7408644625
2022-07-16 12:30:00+00:00,91978.11974888369
2022-07-16 13:00:00+00:00,0.0
2022-07-16 13:30:00+00:00,1.6979644341128212e-06
2022-07-16 14:00:00+00:00,7064.666783148667
2022-07-16 14:30:00+00:00,990613.8256377532
2022-07-16 15:00:00+00:00,1665846.2413814021
2022-07-16 15:30:00+00:00,10.959214200811598
2022-07-16 16:00:00+00:00,-1.5448948528085437e-05
2022-07-16 16:30:00+00:00,-1.6391277313232418e-10
2022-07-16 17:00:00+00:00,194141.28814349492
2022-07-16 17:30:00+00:00,1696697.9799193125
2022-07-16 18:00:00+00:00,1168438.6313956087
2022-07-16 18:30:00+00:00,-8.110342117456288e-06
2022-07-16 19:00:00+00:00,-1.5801139540605613e-05
2022-07-16 19:30:00+00:00,-1.392005089493025e-05
2022-07-16 20:00:00+00:00,-1.6718066099918252e-06
2022-07-16 20:30:00+00:00,1135264.9233483437
2022-07-16 21:00:00+00:00,2336917.4914438324
2022-07-16 21:30:00+00:00,112304.72831234745
2022-07-16 22:00:00+00:00,4.276134197910627e-06
2022-07-16 22:30:00+00:00,4.400327934750489e-06
2022-07-16 23:00:00+00:00,3.195216950206529e-05
2022-07-16 23:30:00+00:00,3.093148320913315e-05
2022-07-17 00:00:00+00:00,354197.5861501157
